,SOURCE,kcat
2.7.1.48,BRENDA,3.2
2.5.1.65,BRENDA,14000.0
1.8.4.8,BRENDA,3.5
2.5.1.47,BRENDA and SABIO-RK,14000.0
2.3.1.180,BRENDA,47.1
2.3.1.46,BRENDA,36.72
4.2.1.17,BRENDA and SABIO-RK,5667.0
4.1.1.49,BRENDA and SABIO-RK,78.82
2.8.3.16,BRENDA,5.0
2.2.1.6,BRENDA and SABIO-RK,121.0
1.1.1.42,BRENDA and SABIO-RK,440000.0
3.2.1.86,BRENDA and SABIO-RK,195.0
5.1.3.13,BRENDA and SABIO-RK,999.0
2.7.1.6,BRENDA and SABIO-RK,146.0
1.8.4.14,BRENDA,14.0
2.7.1.165,BRENDA,533.3
1.14.14.5,BRENDA,0.88
1.1.1.3,BRENDA and SABIO-RK,245.0
3.1.3.7,BRENDA and SABIO-RK,95.0
6.3.3.3,BRENDA and SABIO-RK,49.0
2.7.1.21,BRENDA and SABIO-RK,999.0
2.3.1.9,BRENDA and SABIO-RK,5000000.0
3.6.3.6,BRENDA,56.7
2.1.1.107,BRENDA,38.0
3.2.2.3,BRENDA,23.8
3.1.2.6,BRENDA and SABIO-RK,3930.0
1.13.11.16,BRENDA and SABIO-RK,50.0
2.3.1.222,BRENDA,20.7
1.5.1.20,BRENDA and SABIO-RK,999.0
1.7.1.13,BRENDA and SABIO-RK,0.142
4.3.99.3,BRENDA,5.4
5.3.1.12,BRENDA,196.0
1.5.1.36,BRENDA,178.0
1.5.1.39,SABIO-RK,28.0
6.3.2.13,BRENDA,8.83
2.7.7.18,BRENDA and SABIO-RK,53.9
4.1.2.14,BRENDA,999.0
3.2.1.108,BRENDA,33.8
1.1.1.24,BRENDA,223.1
3.6.1.1,BRENDA and SABIO-RK,6290.0
2.7.7.58,BRENDA,5.83
1.4.3.21,BRENDA and SABIO-RK,198.0
3.6.4.2,BRENDA,999.0
2.3.1.15,BRENDA,0.0918
2.3.1.54,BRENDA,12.8
5.4.3.8,BRENDA,0.95
2.3.1.129,BRENDA,10.5
5.3.1.6,BRENDA and SABIO-RK,52000.0
2.7.2.4,BRENDA and SABIO-RK,469.3
3.6.5.3,BRENDA,8.8
1.11.1.9,BRENDA and SABIO-RK,118000.0
6.3.2.9,BRENDA,999.0
3.6.4.10,BRENDA and SABIO-RK,999.0
