,kcat,MW,kcat_MW
G3PD7,119880.0,148.4235,807.6888093866538
NADH9_num1,11645835.26,40.34,288691.99950421415
NADH9_num2,11645835.26,47.3587,245906.9877340383
NADH9_num3,11645835.26,83.384,139665.10673510504
NADH9_num4,11645835.26,40.752,285773.34265802905
NADH10_num1,11645835.26,40.34,288691.99950421415
NADH10_num2,11645835.26,47.3587,245906.9877340383
NADH10_num3,11645835.26,40.752,285773.34265802905
NADH10_num4,11645835.26,83.384,139665.10673510504
MDH,1763891.425,64.6746,27273.325617785034
FUM_num1,2007062.666,120.2106,16696.2203499525
FUM_num2,2007062.666,120.5972,16642.697060959956
FUM_num3,2007062.666,201.9555,9938.143135492719
PYDXNK,49056.84,61.6948,795.1535623747868
PYAM5PO,10321.51305,51.0903,202.02490590190308
OHPBAT,5316.62418,79.5666,66.81979850841937
GLUTRR,719683.2,92.6136,7770.815517375417
GLCS1,1093500.0,52.8224,20701.444841582357
ADMDC,16389.04362,30.3846,539.3865188286171
AGMT,5457.6,67.1141,81.31823268135908
ARGDC,12120.54546,844.2524,14.356542498428196
SPMS,25013.45454,64.6428,386.94881007629624
G1SAT,1836.0,90.7322,20.235373990711125
KDOCT2,52679.99999,27.6144,1907.7003299003418
OAADC,600704.6036,66.8521,8985.575675259268
MNNH,9947.999999,44.838,221.8653820197154
GUI1,244320.0,53.9872,4525.517159623022
PGAMT,5550.469357999999,47.5436,116.74482702193355
UAGDP,462342.3296,147.5702,3133.0331571008237
UAGCVT,11229.28003,44.8176,250.55513972189496
GLUR,172913.8737,31.002,5577.507054383588
UAG2E,10908.9,84.4892,129.11591067260667
ICHORS_copy1,39634.36362,42.9316,923.1979152885053
HACD5_num1,4965491.502,159.1878,31192.663646334706
HACD5_num2,4965491.502,77.0722,64426.492327973
HPPK2,1798506.0,18.0788,99481.49213443369
PTPATi,37723.56682,107.0198,352.4914718584785
HEX7,2310746.4,32.4998,71100.32677124167
DXPRIi,6249426.001,86.776,72017.90818890017
GHMT2r,222126.1124,90.6332,2450.8250001103347
DHORD2,159865.3806,36.7745,4347.180263497804
ADK4,3008.0172350000003,23.586,127.5340131857882
ABTA_num1,71091.5143,91.5493,776.5380434367056
ABTA_num2,71091.5143,44.7291,1589.3794934393939
SSALx,182752.9412,99.4357,1837.9006855686641
ASPT,474852.857,209.4245,2267.417885681952
SERD_L_num1,940849.8545,211.0938,4457.02268138619
SERD_L_num2,940849.8545,48.9066,19237.686825500037
