,MW,kcat,kcat_MW,source
UMPK_num2,155.8199,595658.6205079978,3822.737792207528,
DDPGALA,21.3903,48681.6,2275.8727086576623,
DURIK1,23.4563,8515.8,363.0495858255565,
UPPRT,67.59899999999999,7702.92,113.95020636399948,
CTPS2,241.4938,16891.995410954903,69.94794653508663,
NTD1_num1,45.4156,290100.0,6387.672958190577,
NTD1_num2,26.9001,290100.0,10784.34652659284,
NTD1_num3,25.3003,290100.0,11466.267198412666,
NTD1_num4,20.2552,290100.0,14322.248114064538,
NTD7_num1,25.3985,347934.6,13699.02159576353,
NTD7_num2,26.9001,347934.6,12934.323664224297,
NTD7_num3,20.2552,347934.6,17177.544531774558,
NTD7_num4,27.1628,347934.6,12809.231743413786,
PAPPT3,39.8742,734587.2,18422.619137186448,
UAGPT3,37.8143,7916.0,209.33879511190207,
GLYCLTDx_num1,70.7902,431185812.0,6091038.194552354,
GLYCLTDx_num2,35.343,431185812.0,12200034.29250488,
HPYRRy_num1,35.343,69938682.35294117,1978855.28542968,
HPYRRy_num2,70.7902,69938682.35294117,987971.2495930393,
ACODA,84.6937,1805264.816994653,21315.219632565982,
ADA,36.397,131727.0,3619.1719097727837,
DADA,36.397,98407.26315789473,2703.719074591168,
ADD,127.4773,320762.82,2516.2348120018232,
ADSS,94.6888,7565.532907450666,79.89892054235207,
AGDC,163.7945,852525.0,5204.845095531291,
ASNN_num1,148.5072,1294539.408,8717.014447784351,
ASNN_num2,33.3936,1294539.408,38766.09314359638,
ASNS2_num1,73.3002,7282.8,99.35579984774941,
ASNS2_num2,125.3166,7282.8,58.11520580673271,
ASPCT_num1,309.2843,339073.28329941124,1096.3158598720054,
ASPCT_num2,206.5617,339073.28329941124,1641.5109059395386,
DMPPS,69.5483,9504.0,136.65323235794406,
MCOATA,41.0563,667981.2669513298,16269.884693733477,
IPDPS,69.5483,9504.0,136.65323235794406,
DAPE,60.4165,226395.1824527877,3747.240943331503,
HSK,67.2466,49374.664270411056,734.2328723000278,
SDPTA_num1,91.5482,48801.739758350544,533.0715378166972,
SDPTA_num2,44.7285,48801.739758350544,1091.065869822385,
SDPTA_num3,87.5329,48801.739758350544,557.5245394400339,
SDPTA_num4,87.3297,48801.739758350544,558.8217955443629,
SDPTA_num5,79.5657,48801.739758350544,613.3514788200258,
THRS,47.1133,1232145.6032707123,26152.818912509043,
HSST,71.4537,62999.26772918338,881.679573334668,
PPNDH,86.2217,1381778.3737135949,16025.87717144982,
DDPA_num1,152.0364,133150.10393138631,875.7778001280371,
DDPA_num2,77.6071,133150.10393138631,1715.6948775483982,
DDPA_num3,77.4692,133150.10393138631,1718.7489212665973,
NMNDA,35.163000000000004,9336.0,265.5063561129596,
NNAM,23.3618,35911.08,1537.1709371709371,
P5CD,287.6269,24321.6,84.5595457170383,
SPMDAT1,87.54700000000003,3579.48,40.88638102961837,
SPMDAT2,87.54700000000003,3579.48,40.88638102961837,
MALS_num1,60.2729,504108.0,8363.75883689021,
