,kcat_ori,kcat_change,kcat_mw_new,norm_biomass,ori_biomass,new_biomass
MCOATA,4.918484161,199.6692538,4.863256272423259,0.8769972144269698,0.03509507821472751,0.8769972144282292
ASPK,175.3781063,175.3781063,1.8068388869142367,0.8769972144269698,0.038534214302886984,0.03853414221406145
PRAIi,5.0,114.425,2.311975802296519,0.8769972144269698,0.04052193951629698,0.8769972144263902
IGPS,5.0,49.7921389,1.0060582939164273,0.8769972144269698,0.04052193951629698,0.40353480817776516
IG3PS,8.962926583,13.73405688,0.2740929341632856,0.8769972144269698,0.043048643617762866,0.06596422659252794
PPND,22.0,40.24753084,0.4786529207349706,0.8769972144269698,0.04319023568583985,0.07901365194330491
ADSK,22.0,43.2254,0.968254537146134,0.8769972144269698,0.04540089670687586,0.08920326911406176
HSK,81.0,81.0,1.2045093260249855,0.8769972144269698,0.05046307464943411,0.050463074649348176
AGPR_reverse,24.0,32.88630725,0.9147256279883512,0.8769972144269698,0.051455926428095614,0.07050814193138741
SHKK,17.01726647,47.39301683,2.474727783173549,0.8769972144269698,0.053159039507650274,0.14804770545776233
ACGS,228.0,228.0,0.7724333445923398,0.8769972144269698,0.059540083087888274,0.059540083087888274
QULNS,0.46,9.918012811,0.1296784169133491,0.8769972144269698,0.06019799045508346,0.8769972144258418
UAGCVT,3.3,4.75,0.10598514869158546,0.8769972144269698,0.06041473856609736,0.08696060854210985
DHQTi,59.0,81.78571429,1.488818517911722,0.8769972144269698,0.06425257973713873,0.08906683269118414
DXPS,1.1,5.854545455,0.04329199597881892,0.8769972144269698,0.06541673978611019,0.34816843326880903
A5PISO,15.4303242,118.0384615,0.867128407787802,0.8769972144269698,0.06641806496449605,0.5080830514381652
PSD160,6.7,12.77145308,0.3554102219600161,0.8769972144269698,0.06661672588011541,0.1269839386449426
MPTG,5.2213959580000004,14.71847982,0.11445474659108142,0.8769972144269698,0.06662926653336955,0.18781979431960963
PSD161,7.9,19.1008352,0.5315473529542722,0.8769972144269698,0.06664274154259567,0.16113063588371057
NNDPR,0.46,400.852,6.117626949473552,0.8769972144269698,0.07026480940038937,0.8769972144274334
KDOPP,10.0,34.80323389,0.435103513634477,0.8769972144269698,0.07325280915732782,0.2549434650202014
BPNT,22.0,106.8934183,3.9333901839497494,0.8769972144269698,0.07458130443706665,0.3623750260388951
DHAD2,139.0,139.0,1.0605578534309048,0.8769972144269698,0.08322996691629625,0.08322996691629625
GK1,42.0,330.7214293,7.008977974119113,0.8769972144269698,0.08343781596816957,0.6570160417793831
DHAD1,420.0,420.0,3.204563298136547,0.8769972144269698,0.08356221494809266,0.08356221494809565
MCTP1App,11.86053908,27.49250419,0.12038569038342128,0.8769972144269698,0.08522608700026396,0.19755245003181265
DAPE,84.0,84.0,1.390334855529312,0.8769972144269698,0.08545550656847252,0.08545550656847252
